mushroomName,edibility,commonName,preferredSearch,season,similarSpecies,description
Lactarius deliciosus,,,,,,"Lactarius deliciosus, commonly known as the saffron milk cap and red pine mushroom, is one of the best known members of the large milk-cap genus Lactarius in the order Russulales. It is found in Europe and has been accidentally introduced to other countries under conifers and can be found growing in pine plantations. A fresco in the Roman town of Herculaneum appears to depict Lactarius deliciosus and is one of the earliest pieces of art to illustrate a fungus."
Morchella,yes*,Morel,,,Verpa bohemica,"Morchella, the true morels, is a genus of edible sac fungi closely related to anatomically simpler cup fungi in the order Pezizales (division Ascomycota). These distinctive fungi have a honeycomb appearance, due to the network of ridges with pits composing their cap. Morels are prized by gourmet cooks, particularly in French cuisine. Due to difficulties in cultivation, commercial harvesting of wild morels has become a multimillion-dollar industry in the temperate Northern Hemisphere, in particular North America, Turkey, China, the Himalayas, India, and Pakistan, where these highly prized fungi are found in abundance.
Typified by Morchella esculenta in 1794, the genus has been the source of considerable taxonomical controversy throughout the years, mostly with regard to the number of species involved, with some mycologists recognising as few as three species and others over thirty. Current molecular phylogenetics suggest there might be over seventy species of Morchella worldwide, most of them exhibiting high continental endemism and provincialism.
The genus is currently the focus of extensive phylogenetic, biogeographical, taxonomical and nomenclatural studies, and several new species have been described from Australia, Canada, Cyprus, Israel, North America, Spain and Turkey."
Pleurotus ostreatus,yes,OYSTER,,"spring, fall","Pleurotus sapidus, Pleurotus cystidiosus, Pleurotus porrigens","Pleurotus ostreatus, the oyster mushroom, is a common edible mushroom. It was first cultivated in Germany as a subsistence measure during World War I and is now grown commercially around the world for food. It is related to the similarly cultivated king oyster mushroom. Oyster mushrooms can also be used industrially for mycoremediation purposes.
The oyster mushroom is one of the more commonly sought wild mushrooms, though it can also be cultivated on straw and other media. It has the bittersweet aroma of benzaldehyde (which is also characteristic of bitter almonds)."
Tricholoma matsutake,,,,,,"Matsutake (Chinese and Japanese: 松茸, Korean: 송이 (Songyi), pine mushroom, Tricholoma matsutake = syn. T. nauseosum = syn. Armillaria ponderosa) is the common name for a highly sought mycorrhizal mushroom that grows in Asia, Europe, and North America. It is prized in Japanese, Korean, and Chinese cuisine for its distinct spicy-aromatic odor.

"
Tuber borchii,,,,,,"A truffle is the fruiting body of a subterranean Ascomycete fungus, predominantly one of the many species of the genus Tuber. Truffles are ectomycorrhizal fungi and are therefore usually found in close association with tree roots. Spore dispersal is accomplished through fungivores, animals that eat fungi.
Some of the truffle species are highly prized as food. French gourmet Jean Anthelme Brillat-Savarin called truffles ""the diamond of the kitchen"". Edible truffles are held in high esteem in French, Croatian, Georgian, Bulgarian, Greek, Italian, Middle Eastern, and Spanish cuisine, as well as in international haute cuisine."
Tuber brumale,,,,,,"Tuber brumale, also known as the brumale truffle or winter truffle, is a species of truffle native to Southern Europe. It is naturally present in the soils of many truffle orchards."
Tuber indicum,,,,,,
Tuber macrosporum,,,,,,"Tuber macrosporum, commonly known as the smooth black truffle, is a species of edible truffle in the family Tuberaceae. Found in Europe, and common in central Italy, the truffle was described as new to science by Italian mycologist Carlo Vittadini in 1831. The truffles are roughly spherical to irregular in shape, and typically measure 0.5 to 2 cm (0.2 to 0.8 inches) in diameter (rarely are they greater than 5 cm). The surface color ranges from reddish brown to rust to blackish. Warts on the fruit body surface are low, so that the truffle appears fairly smooth. The truffle flesh is purplish brown to grey-brown with thin white veins. It has an intense garlic-like odor similar to the Italian white truffle (Tuber magnatum). Host plants of T. macrosporum include poplars, hazel, linden, and oaks."
Tuber mesentericum,,,,,,
Tuber aestivum,yes,Summer Truffle,,,,"The summer truffle (Tuber aestivum) or burgundy truffle (Tuber uncinatum) is a species of truffle, found in almost all European countries."
Amanita caesarea,no*,CAESAR'S MUSHROOM,,"summer, fall","Amanita muscaria, Amanita flavoconia, Amanita calyptrata, Amanita parcivolvata","Amanita caesarea, commonly known as Caesar's mushroom, is a highly regarded edible mushroom in the genus Amanita, native to southern Europe and North Africa. This mushroom can also be found in La Esperanza, Honduras, where a festival is celebrated annually in its honor. While it was first described by Giovanni Antonio Scopoli in 1772, this mushroom was a known favorite of early rulers of the Roman Empire.
It has a distinctive orange cap, yellow gills and stipe. Organic acids have been isolated from this species. Similar orange-capped species occur in North America and India. It was known to and valued by the Ancient Romans, who called it Boletus, a name now applied to a very different type of fungus.
While edible, the Caesar's mushroom is closely related to the psychoactive fly agaric, and to the deadly poisonous death cap and destroying angels."
Armillaria mellea,yes*,HONEY MUSHROOM ,,"summer, fall","Armillaria tabescens, Galerina marginata, Naematoloma fasciculare, Gymnopilus spectabilis","Armillaria mellea, commonly known as honey fungus, is a basidiomycete fungus in the genus Armillaria. It is a plant pathogen and part of a cryptic species complex of closely related and morphologically similar species. It causes Armillaria root rot in many plant species and produces mushrooms around the base of trees it has infected. The symptoms of infection appear in the crowns of infected trees as discoloured foliage, reduced growth, dieback of the branches and death. The mushrooms are edible but some people may be intolerant to them. This species is capable of producing light via bioluminescence in its mycelium.
Armillaria mellea is widely distributed in temperate regions of the Northern Hemisphere. The fruit body or mushroom, commonly known as stump mushroom, stumpie, honey mushroom, pipinky or pinky, grows typically on hardwoods but may be found around and on other living and dead wood or in open areas."
Agaricus arvensis,yes,Horse Mushroom,,"summer, fall","Agaricus sylvicola, Agaricus abruptibulbus, Agaricus crocodilinus, Agaricus xanthoderma","Agaricus arvensis, commonly known as the horse mushroom, is a mushroom of the genus Agaricus."
Agaricus silvaticus ,,,,,,"Agaricus silvaticus (or Agaricus sylvaticus), otherwise known as the Scaly Wood Mushroom, Blushing Wood Mushroom or Pinewood Mushroom, is a common, edible Mushroom, often found in groups in coniferous forests from early summer, or September through to November in Europe, North Africa and North America."
Boletus badius,,,,,,"Imleria badia, commonly known as the bay bolete, is an edible, pored mushroom found in Europe and North America, where it grows in coniferous or mixed woods on the ground or on decaying tree stumps, sometimes in prolific numbers. Both the common and scientific names refer to the bay- or chestnut-coloured cap, which is almost spherical in young specimens before broadening and flattening out to a diameter up to 15 cm (6 in). On the cap underside are small yellowish pores that bruise dull blue-grey when injured. The smooth, cylindrical stipe, measuring 4–9 cm (1.6–3.5 in) long by 1–2 cm (0.4–0.8 in) thick, is coloured like the cap, but paler. Some varieties have been described from eastern North America, differing from the main type in both macroscopic and microscopic morphology.
First described scientifically by Elias Fries in 1818, the bay bolete was reclassified as Xerocomus badius in 1931, and it is still listed thus in several sources. Modern molecular phylogenetic studies show Xerocomus to be polyphyletic (not descended from a common ancestor), and the bay bolete is not particularly closely related to species in that genus. Often considered a poor relation of the cep (Boletus edulis), I. badia is nevertheless regarded as a choice edible mushroom by some authors, such as food expert Antonio Carluccio, and is sold in markets in Europe and central Mexico. Its mushrooms are less often infested by maggots than other boletes. Several European studies have demonstrated that the mushroom can bioaccumulate some trace metals from the soil, such as mercury, cobalt, and nickel. Additionally, the mushroom contains a pigment that concentrates radioactive caesium; specimens collected in Europe following the 1986 Chernobyl disaster had 137Cs concentrations several times greater than those collected before the incident."
Chroogomphus rutilus ,,,,,,"Chroogomphus rutilus, commonly known as the brown slimecap or the copper spike, is a species of fungus in the Gomphidiaceae family. First described scientifically as Agaricus rutilus by Jacob Christian Schaffer in 1774, it was transferred to the genus Chroogomphus in 1964 by Orson K. Miller, Jr.. The fungus lives ectomycorrhizally with Pinus species, and is found in Europe and North America. The fruit bodies are edible but not highly regarded.
Gomphidius viscidus is an old synonym of this mushroom."
Calvatia gigantea,,,,,,"Calvatia gigantea, commonly known as the giant puffball, is a puffball mushroom commonly found in meadows, fields, and deciduous forests usually in late summer and autumn. It is found in temperate areas throughout the world."
Calvatia utriformis,,,,,,"Handkea utriformis, synonymous with Lycoperdon utriforme, Lycoperdon caelatum or Calvatia utriformis, is a species of the Lycoperdaceae family of puffballs. A rather large mushroom, it may reach dimensions of up to 25 cm (9.8 in) broad by 20 cm (7.9 in) tall. It is commonly known as the mosaic puffball, a reference to the polygonal-shaped segments the outer surface of the fruiting body develops as it matures. Widespread in northern temperate zones, it is found frequently on pastures and sandy heaths, and is edible when young. H. utriformis has antibiotic activity against a number of bacteria, and can bioaccumulate the trace metals copper and zinc to relatively high concentrations."
Calocybe gambosa ,yes,St. George's mushroom,,"spring, fall",,"Calocybe gambosa, commonly known as St. George's mushroom, is an edible mushroom that grows mainly in fields, grass verges and roadsides. Deriving its common name from when it first appears in the UK, namely on St George's Day (23 April). It appears in March in Italy, a warmer country where it is also a popular mushroom to eat, and is known there as marzolino. It is also popular in Northern Spain and Southern France, in the Basque Country region and its surroundings where it is called perretxiko and appears in April. In these regions it is usually eaten sautéed with egg or with bacon.
It is considered a delicacy, especially when fried in butter. It was previously considered a part of the large genus Tricholoma and is still seen as T. gambosum in older texts."
Coprinus comatus,yes*,SHAGGY MANE,,"summer, fall","Chlorophyllum molybdites, Coprinus atrmentarius","Coprinus comatus, the shaggy ink cap, lawyer's wig, or shaggy mane, is a common fungus often seen growing on lawns, along gravel roads and waste areas. The young fruit bodies first appear as white cylinders emerging from the ground, then the bell-shaped caps open out. The caps are white, and covered with scales—this is the origin of the common names of the fungus. The gills beneath the cap are white, then pink, then turn black and secrete a black liquid filled with spores (hence the ""ink cap"" name). This mushroom is unusual because it will turn black and dissolve itself in a matter of hours after being picked or depositing spores.
When young it is an excellent edible mushroom provided that it is eaten soon after being collected (it keeps very badly because of the autodigestion of its gills and cap). If long-term storage is desired, microwaving, sauteing or simmering until limp will allow the mushrooms to be stored in a refrigerator for several days or frozen. Also, placing the mushrooms in a glass of ice water will delay the decomposition for a day or two so that one has time to incorporate them into a meal. Processing or icing must be done whether for eating or storage within four to six hours of harvest to prevent undesirable changes to the mushroom. The species is cultivated in China as food.
The mushroom can sometimes be confused with the magpie fungus which is poisonous. In America, the 'vomiter' mushroom Chlorophyllum molybdites is responsible for most cases of mushroom poisoning due to its similarity with shaggy mane and other edible mushrooms."
Clavulina cristata,,,,,,"Clavulina cristata, commonly known as the white coral fungus or the crested coral fungus, is a white- or light-colored edible coral mushroom present in temperate areas of the Americas and Europe. It is the type species of the genus Clavulina.
The commonly used species name cristata was coined in 1790 by Danish mycologist Theodor Holmskjold (as Ramaria cristata). However, Linnaeus described apparently the same fungus as Clavaria coralloides in Species plantarum in 1753. Therefore, according to the International Code of Nomenclature for algae, fungi, and plants, the name Clavulina coralloides should be used in preference to Clavulina cristata, although the latter name is in more common use."
Ustilago maydis,yes,Corn Smut,,,,"Corn smut is a plant disease caused by the pathogenic fungus Ustilago maydis that causes smut on maize and teosinte. The fungus forms galls on all above-ground parts of corn species, and is known in Mexico as the delicacy huitlacoche; which is eaten, usually as a filling, in quesadillas and other tortilla-based foods, and soups."
Cyttaria espinosae,,,,,,"Cyttaria espinosae (Lloyd), also known by its local name Digüeñe, Lihueñe or Quideñe, is an orange-white coloured and edible ascomycete fungus native to south-central Chile. The Digüeñe is a strict and specific parasite of Nothofagus, mainly Nothofagus obliqua trees and cause canker-like galls on branches from which the fruiting bodies emerge between spring and early summer. The pitted surface generates air turbulence, preventing a build-up of static air around the fruitbodies, thus facilitating wind-borne spore dispersal. In Chilean cuisine, the Digüeñe is usually consumed fresh in salads or fried with scrambled eggs."
Fistulina hepatica,yes,BEEFSTEAK,,"summer, fall",,"Fistulina hepatica (beefsteak fungus, also known as beefsteak polypore or ox tongue) is an unusual bracket fungus classified in the Agaricales, that is commonly seen in Britain, but can be found in North America, Australia, North Africa, Southern Africa and the rest of Europe. As its name suggests, it looks remarkably similar to a slab of raw meat. It has been used as a meat substitute in the past, and can still be found in some French markets. It has a sour, slightly acidic taste. For eating it must be collected young and it may be tough and need long cooking."
Flammulina velutipes,yes,Enokitake,,,"Hypholoma fasciculare, Armillaria mellea","Enokitake (榎茸, エノキタケ, Japanese pronunciation: [enokitake], ), also enokidake (榎茸, エノキダケ, Japanese pronunciation: [enokidake], ) futu (in India found in wild at Bastar region of Chhattisgarh) or enoki (榎, エノキ, Japanese pronunciation: [enoki], ), is a long, thin white mushroom used in East Asian cuisine (such as that of China, Japan, Vietnam and Korea). These mushrooms are cultivars of Flammulina velutipes, also known by the name golden needle mushroom, futu mushroom or lily mushroom. Wild forms differing in color, texture, and sliminess are called names including futu, seafood mushrooms, winter mushrooms or winter fungus, velvet foot, velvet stem or velvet shank.
This mushroom is available fresh or canned, with experts recommending fresh enoki specimens with firm, white, shiny caps, rather than those with slimy or brownish stalks that are best avoided. It is traditionally used for soups but can be used for salads and other dishes. The mushroom has a crisp texture and can be refrigerated for approximately one week."
Hygrophorus chrysodon,,,,,,Hygrophorus chrysodon is a species of fungus in the genus Hygrophorus.
Lactarius deterrimus,yes,Saffron Milk Cap,,"summer, fall","Lactarius torminosus, Lactarius pubescens","Lactarius deterrimus, also known as false saffron milkcap or orange milkcap, is a species of fungus in the family Russulaceae. The fungus produces medium-sized fruit bodies (mushrooms) with orangish caps up to 12 cm (4.7 in) wide that develop green spots in old age or if injured. Its orange-coloured latex stains maroon within 30 minutes. Lactarius deterrimus is a mycorrhizal fungus that associates with Norway spruce and bearberry. The species is distributed in Europe, but has also found in parts of Asia. A visually similar species in the United States and Mexico is not closely related to the European species. Fruit bodies appear between late June and November, usually in spruce forests. Although the fungus is edible—like all Lactarius mushrooms from the section Deliciosi—its taste is often bitter, and it is not highly valued. The fruit bodies are used as source of food for the larvae of several insect species. Lactarius deterrimus can be distinguished from similar Lactarius species by difference in the mycorrhizal host or latex colour."
Lactarius subdulcis,,,,,,"Lactarius subdulcis, commonly known as the mild milkcap or beech milk cap, is an edible mushroom in the genus Lactarius. It is brown in colour, with a large number of gills and a particularly thin layer of flesh in the cap. Mycorrhizal, the mushroom is found from late summer to late autumn at the base of beech trees in small groups or individually, where it is one of the two most common species of fungi. Alternatively, it can be found in large groups in fields, sometimes with more than a hundred individual mushrooms. It is found in Europe, and, despite previous research to the contrary, is absent in North America. Although considered edible, it is not particularly useful as food due to its ivy-like taste and the fact that more choice mushrooms will be easily found at the same time. L. subdulcis is known for its abundant, sweet-tasting milk that, unlike the latex of some of its relatives, does not stain fabric yellow."
Pleurotus porrigens,yes,ANGEL WINGS,,"summer, fall","Pleurotus ostreatus, Pleurotus sapidus, Pleurotus cystidiosus",
Laetiporus sulphureus,yes*,Chicken Of The Woods,,"summer, fall","Laetiporus conifericola, Laetiporus huroniensis, Laetiporus gilbertsonii, Laetiporus gilbertsonii","Laetiporus sulphureus is a species of bracket fungus (fungi that grow on trees) found in Europe and North America. Its common names are crab-of-the-woods, sulphur polypore, sulphur shelf, and chicken-of-the-woods. Its fruit bodies grow as striking golden-yellow shelf-like structures on tree trunks and branches. Old fruitbodies fade to pale beige or pale grey. The undersurface of the fruit body is made up of tubelike pores rather than gills.
Laetiporus sulphureus is a saprophyte and occasionally a weak parasite, causing brown cubical rot in the heartwood of trees on which it grows. Unlike many bracket fungi, it is edible when young, although adverse reactions have been reported."
Leccinum aurantiacum,yes,ASPEN SCABERSTALK,,"summer, fall","Leccinum insigne, Leccinum atrostipitatum","Leccinum aurantiacum, is a species of fungus in the genus Leccinum. It is found in forests of Europe, North America and Asia and has a large, characteristically red-capped fruiting body. In North America, it is sometimes referred to by the common name red-capped scaber stalk. There are some uncertainties regarding the taxonomic classification of this species in Europe as well as in North America. It is considered edible.

"
Phallus impudicus,yes*,Stinkhorn,,"summer, fall",Phallus hadriani,"Phallus impudicus, known colloquially as the common stinkhorn, is a widespread fungus recognizable for its foul odor and its phallic shape when mature, the latter feature giving rise to several names in 17th-century England. It is a common mushroom in Europe and North America, where it occurs in habitats rich in wood debris such as forests and mulched gardens. It appears from summer to late autumn. The fruiting structure is tall and white with a slimy, dark olive colored conical head. Known as the gleba, this material contains the spores, and is transported by insects which are attracted by the odor—described as resembling carrion. Despite its foul smell, it is not poisonous and immature mushrooms are consumed in parts of France and Germany."
Leccinum versipelle ,yes*,Orange Birch Boletus,,"summer, fall",,"Leccinum versipelle, also known as Boletus testaceoscaber or the orange birch bolete, is a common edible mushroom (given the right preparation) in the genus Leccinum. It is found below birches from July through to November, and turns black when cooked."
Macrolepiota procera ,yes*,PARASOL MUSHROOM ,,"summer, fall","Chlorophyllum molybdites, Chlorophyllum rhacodes","The parasol mushroom (Macrolepiota procera or Lepiota procera) is a basidiomycete fungus with a large, catty, prominent fruiting body resembling a parasol. It is a fairly common species on well-drained soils. It is found solitary or in groups and fairy rings in pastures and occasionally in woodland. Globally, it is widespread in temperate regions."
Marasmius oreades,,,,,,"Marasmius oreades, the Scotch bonnet, is also known as the fairy ring mushroom or fairy ring champignon. The latter names tend to cause some confusion, as many other mushrooms grow in fairy rings (such as the edible Agaricus campestris, the poisonous Chlorophyllum molybdites, and many others)."
Polyporus squamosus,yes,DRYAD SADDLE,,"spring, summer",,"Polyporus squamosus aka Cerioporus squamosus (yet to be confirmed new taxonomy) is a basidiomycete bracket fungus, with common names including dryad's saddle and pheasant's back mushroom. It has a widespread distribution, being found in North America, Australia, Asia, and Europe, where it causes a white rot in the heartwood of living and dead hardwood trees. The name ""dryad's saddle"" refers to creatures in Greek mythology called dryads who could conceivably fit and ride on this mushroom, whereas the pheasant's back analogy derives from the pattern of colors on the bracket matching that of a pheasant's back."
Ramariaceae,,,,,,"The Gomphaceae are a diverse family of fungi belonging in what is classically known as the Phallales or cladistically as the gomphoid-phalloid clade. The family has 13 genera and 287 species.

"
Rhizopogon luteolus,,,,,,Rhizopogon luteolus is an ectomycorrhizal fungus used as a soil inoculant in agriculture and horticulture. It was deliberately introduced into Pinus radiata plantations in Western Australia after it was observed to improve tree growth.
Russula,,,,,,"Around 750 worldwide species of ectomycorrhizal mushrooms compose the genus Russula. They are typically common, fairly large, and brightly colored – making them one of the most recognizable genera among mycologists and mushroom collectors. Their distinguishing characteristics include usually brightly coloured caps, a white to dark yellow spore print, brittle, attached gills, an absence of latex, and absence of partial veil or volva tissue on the stem. Microscopically, the genus is characterised by the amyloid ornamented spores and flesh (trama) composed of spherocysts. Members of the related genus Lactarius have similar characteristics but emit a milky latex when their gills are broken. The genus was described by Christian Hendrik Persoon in 1796."
Morchella angusticeps,yes*,NARROWHEAD MOREL,,spring,"Gyromitra esculenta, Morchella canaliculata, Verpa bohemica","Morchella angusticeps is a species of fungus in the Morchellaceae family native to eastern North America. Described by Charles Horton Peck in 1879, the name M. angusticeps was clarified in 2012 prior to which this species may have been referred to as either M. angusticeps or M. elata. M. angusticeps is one of the black morels, and is found in eastern North America, where it occurs in association with various hardwoods in the spring.
A similar, although smaller, black morel occurs in northeastern North America, M. septentrionalis.

"
Suillus bovinus,yes,,,"summer, fall",Suillus variegatus,"Suillus bovinus, also known as the Jersey cow mushroom or bovine bolete, is a pored mushroom of the genus Suillus in the family Suillaceae. A common fungus native to Europe and Asia, it has been introduced to North America and Australia. It was initially described as Boletus bovinus by Carl Linnaeus in 1753, and given its current binomial name by Henri François Anne de Roussel in 1806. It is an edible mushroom, though not highly regarded.
The fungus grows in coniferous forests in its native range, and pine plantations in countries where it has become naturalised. It forms symbiotic ectomycorrhizal associations with living trees by enveloping the tree's underground roots with sheaths of fungal tissue, and is sometimes parasitised by the related mushroom Gomphidius roseus. Suillus bovinus produces spore-bearing fruit bodies, often in large numbers, above ground. The mushroom has a convex grey-yellow or ochre cap reaching up to 10 cm (4 in) in diameter, which flattens with age. Like other boletes, it has tubes extending downward from the underside of the cap, rather than gills; spores escape at maturity through the tube openings, or pores. The pore surface is yellow. The stipe, more slender than those of other Suillus boletes, lacks a ring."
Morchella elata,yes*,Black Morel,,"spring, summer","Gyromitra esculenta, Verpa bohemica","Morchella elata is a species of fungus in the family Morchellaceae. It is one of many related species commonly known as black morels, and until 2012 the name M. elata was broadly applied to black morels throughout the globe. Like most members of the genus, M. elata is a popular edible fungus and is sought by many mushroom hunters."
Morchella vulgaris,yes*,Common Morel,,"spring, summer","Gyromitra esculenta, Verpa bohemica","Morchella vulgaris is a widespread fungus of the Morchellaceae family (Ascomycota). It was originally described in 1801 as a form of the common yellow morel (Morchella esculenta) by mycologist Christiaan Hendrik Persoon, but was later recombined as a distinct species by Samuel Gray.
Owing to its high morphological plasticity, its taxonomical status had long been in flux, sometimes treated as a variety of, or conspecific to Morchella esculenta, while at the same time several forms and varieties of M. vulgaris itself have been described. An extensive phylogenetic and nomenclatural study by Richard and colleagues in 2014, confirmed the status of Morchella vulgaris as a distinct species, and resolved several of its synonymities.
This species is characterised by the predominantly grey colours of its cap and ""blistered"", highly irregular appearance of its ridges and pits."
Suillus tomentosus,yes,,,"summer, fall","Suillus americanus, Suillus hirtellus, Suillus subaureus","Suillus tomentosus is a species of mushroom. The common names of the species are Blue-staining Slippery Jack, Poor Man's Slippery Jack, and Woolly-capped Suillus."
